epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.268,0.45885,0.78881,0.91142,0.39895,0.51954,0.39101,0.13613,2.03947,1.86454,1.82578,0.000663366,0.000663366,0.000663366
2,212.875,0.31089,0.30936,0.8212,0.40428,0.5663,0.39935,0.12601,2.30565,1.78992,2.52304,0.00128614,0.00128614,0.00128614
3,312.004,0.31413,0.2561,0.82358,0.54731,0.55029,0.5156,0.2006,2.11417,1.89727,1.99411,0.00186492,0.00186492,0.00186492
4,410.831,0.3006,0.23011,0.81812,0.44232,0.63258,0.47826,0.1776,2.1414,1.46434,1.90779,0.001802,0.001802,0.001802
5,509.374,0.27678,0.21083,0.81453,0.62127,0.68802,0.64585,0.24275,2.17389,1.2473,2.018,0.001736,0.001736,0.001736
6,613.071,0.26152,0.19917,0.80915,0.73451,0.44074,0.55548,0.20066,2.20143,1.47544,1.85858,0.00167,0.00167,0.00167
7,716.322,0.25372,0.19252,0.80784,0.61679,0.66432,0.63791,0.29112,1.80973,1.32193,1.61214,0.001604,0.001604,0.001604
8,815.251,0.24489,0.18397,0.80831,0.72334,0.7956,0.76792,0.32428,1.88265,1.02915,1.6412,0.001538,0.001538,0.001538
9,912.863,0.23852,0.18078,0.80568,0.68576,0.74119,0.74232,0.33596,1.74764,1.07048,1.57309,0.001472,0.001472,0.001472
10,1010.3,0.23392,0.17534,0.80481,0.57417,0.65906,0.61121,0.24167,2.02335,1.24718,1.79924,0.001406,0.001406,0.001406
11,1107.81,0.22858,0.17061,0.80226,0.63153,0.66368,0.64387,0.28312,1.98783,1.37461,1.88908,0.00134,0.00134,0.00134
12,1205.34,0.223,0.16424,0.80328,0.76764,0.80633,0.81961,0.39493,1.66991,0.90697,1.5065,0.001274,0.001274,0.001274
13,1304.38,0.21716,0.15988,0.80005,0.75239,0.82145,0.81552,0.39715,1.64595,0.91189,1.49396,0.001208,0.001208,0.001208
14,1401.55,0.21069,0.15675,0.80002,0.76857,0.82383,0.82436,0.39769,1.7026,0.98689,1.52021,0.001142,0.001142,0.001142
15,1499.25,0.21038,0.15356,0.80073,0.77559,0.85686,0.84221,0.42803,1.64487,0.81706,1.48271,0.001076,0.001076,0.001076
16,1596.07,0.20158,0.14616,0.80061,0.75186,0.78219,0.79086,0.37468,1.72894,0.96306,1.55377,0.00101,0.00101,0.00101
17,1691.11,0.20295,0.14655,0.79825,0.75813,0.82255,0.83776,0.40135,1.69268,0.91437,1.50121,0.000944,0.000944,0.000944
18,1786.72,0.1955,0.14098,0.79921,0.75,0.77322,0.79965,0.3828,1.68335,1.00873,1.48574,0.000878,0.000878,0.000878
19,1884.67,0.19244,0.13837,0.7974,0.75118,0.8413,0.82481,0.38704,1.74625,1.01545,1.54838,0.000812,0.000812,0.000812
20,1982.94,0.19067,0.13779,0.79803,0.77318,0.82511,0.84304,0.40975,1.65836,0.89718,1.45664,0.000746,0.000746,0.000746
21,2084.53,0.18575,0.13175,0.79288,0.78557,0.80589,0.83968,0.41112,1.68684,0.91677,1.48707,0.00068,0.00068,0.00068
22,2182.19,0.18204,0.12905,0.79549,0.80668,0.85778,0.86924,0.43457,1.62341,0.8085,1.45427,0.000614,0.000614,0.000614
23,2279.85,0.17962,0.12587,0.79554,0.80158,0.83851,0.85639,0.43448,1.58336,0.81531,1.43279,0.000548,0.000548,0.000548
24,2378.13,0.17457,0.12221,0.79461,0.79737,0.82511,0.85721,0.43855,1.55042,0.81694,1.4159,0.000482,0.000482,0.000482
25,2476.95,0.17148,0.11969,0.79331,0.82191,0.84241,0.86188,0.4425,1.59274,0.93457,1.42807,0.000416,0.000416,0.000416
26,2576.95,0.16798,0.11544,0.79357,0.82374,0.84727,0.86912,0.45014,1.55767,0.88073,1.42389,0.00035,0.00035,0.00035
27,2676.29,0.1631,0.11123,0.79349,0.7876,0.8296,0.85698,0.44049,1.58765,0.85186,1.44953,0.000284,0.000284,0.000284
28,2773.57,0.16103,0.10834,0.79154,0.84049,0.84625,0.87675,0.45787,1.56321,0.81441,1.41408,0.000218,0.000218,0.000218
29,2870.97,0.15854,0.10617,0.79368,0.80435,0.81486,0.854,0.44119,1.55264,0.92704,1.41162,0.000152,0.000152,0.000152
30,2968.2,0.15521,0.10209,0.79087,0.82567,0.83408,0.86706,0.45337,1.54737,0.85104,1.41053,8.6e-05,8.6e-05,8.6e-05
