epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2345,1.76162,3.86396,1.95572,0.00333,1,0.4909,0.17393,1.61175,3.22605,2.11246,0.0002,0.0002,0.0002
2,25.2458,1.15729,2.21443,1.52256,1,0.14154,0.93193,0.58331,1.02772,2.83994,1.62973,0.000411684,0.000411684,0.000411684
3,35.1864,1.04466,1.75748,1.37275,1,0.62236,0.94713,0.61314,1.18692,2.66906,1.85799,0.000614656,0.000614656,0.000614656
4,45.1349,1.00399,1.54911,1.336,0.83508,0.74747,0.85725,0.59356,1.03353,2.24754,1.77537,0.000808916,0.000808916,0.000808916
5,55.0416,0.96324,1.35895,1.31509,0.92407,0.77778,0.8923,0.64485,1.02828,1.81314,1.6545,0.000994464,0.000994464,0.000994464
6,64.9748,0.94833,1.19861,1.29194,0.67907,0.66258,0.61043,0.28326,1.68401,2.10789,2.72461,0.0011713,0.0011713,0.0011713
7,74.6634,0.94174,1.11944,1.2996,0.6854,0.57576,0.61882,0.24279,2.0364,1.96865,3.11113,0.00133942,0.00133942,0.00133942
8,84.4261,0.96115,0.9948,1.30951,0.93571,0.80808,0.91306,0.60681,1.27669,0.95222,2.3967,0.00149884,0.00149884,0.00149884
9,94.2187,0.97302,0.89949,1.31719,0.97615,0.82682,0.9256,0.58347,1.28139,0.90854,1.95129,0.00164954,0.00164954,0.00164954
10,104.006,0.96688,0.83056,1.31117,0.93871,0.92817,0.97577,0.54141,1.31058,0.8826,2.21121,0.0016436,0.0016436,0.0016436
11,113.552,0.9271,0.75335,1.27312,0.88977,0.71717,0.75484,0.40102,1.80727,2.77171,2.41101,0.001604,0.001604,0.001604
12,123.271,0.86451,0.66547,1.2416,0.93554,0.72727,0.83318,0.56928,1.28422,1.1073,1.83754,0.0015644,0.0015644,0.0015644
13,132.671,0.8769,0.62217,1.26095,0.97464,0.77634,0.78876,0.55933,1.22336,1.02273,1.67069,0.0015248,0.0015248,0.0015248
14,142.338,0.85733,0.57897,1.22733,1,0.88782,0.97079,0.66039,1.10456,0.7804,1.54693,0.0014852,0.0014852,0.0014852
15,152.279,0.83084,0.54873,1.1864,0.83383,0.82828,0.91122,0.43601,1.89665,1.14637,2.73329,0.0014456,0.0014456,0.0014456
16,162.073,0.84617,0.54852,1.22528,0.55018,0.80808,0.68965,0.35251,1.72762,1.16886,2.56283,0.001406,0.001406,0.001406
17,171.463,0.77818,0.51183,1.17289,0.95792,0.9899,0.98244,0.65223,1.20233,0.81031,1.88007,0.0013664,0.0013664,0.0013664
18,181.074,0.81176,0.49634,1.21289,0.41193,0.73737,0.41062,0.20484,1.69554,1.56744,1.88876,0.0013268,0.0013268,0.0013268
19,190.774,0.7935,0.4886,1.17212,0.97998,0.9899,0.97934,0.54643,1.41972,0.71319,1.833,0.0012872,0.0012872,0.0012872
20,200.484,0.76841,0.45666,1.17474,0.97932,0.95669,0.97832,0.70299,0.9733,0.53015,1.33923,0.0012476,0.0012476,0.0012476
21,210.014,0.71865,0.44153,1.1389,0.98783,1,0.9944,0.77217,0.83853,0.48079,1.21048,0.001208,0.001208,0.001208
22,219.74,0.69907,0.43274,1.11331,0.97984,0.98195,0.99402,0.7726,0.84513,0.4981,1.26502,0.0011684,0.0011684,0.0011684
23,229.468,0.7247,0.43173,1.14356,0.99891,1,0.995,0.68377,1.0921,0.50067,1.35975,0.0011288,0.0011288,0.0011288
24,239.158,0.70857,0.41458,1.13673,0.98998,0.99842,0.9947,0.77792,0.82313,0.43616,1.18742,0.0010892,0.0010892,0.0010892
25,248.761,0.67896,0.39915,1.10539,0.9668,0.88244,0.93518,0.72822,0.86397,0.67532,1.23944,0.0010496,0.0010496,0.0010496
26,258.273,0.67197,0.38689,1.11478,0.98998,0.99804,0.9944,0.77867,0.81774,0.47703,1.18561,0.00101,0.00101,0.00101
27,268.177,0.65695,0.39175,1.10595,0.98994,1,0.995,0.76912,0.90851,0.46785,1.20768,0.0009704,0.0009704,0.0009704
28,277.647,0.65556,0.38041,1.08267,0.99867,0.9798,0.99422,0.80285,0.76052,0.41162,1.16159,0.0009308,0.0009308,0.0009308
29,287.342,0.62364,0.36963,1.08425,0.99608,0.9899,0.99443,0.79559,0.80152,0.39828,1.14207,0.0008912,0.0008912,0.0008912
30,297.065,0.63727,0.36785,1.08539,0.99908,1,0.995,0.79871,0.7677,0.38956,1.1308,0.0008516,0.0008516,0.0008516
31,306.86,0.60967,0.35672,1.06954,0.98762,0.9798,0.98645,0.84797,0.62441,0.35414,1.09418,0.000812,0.000812,0.000812
32,316.432,0.61857,0.34758,1.07652,0.97899,1,0.99288,0.7986,0.76465,0.38008,1.13365,0.0007724,0.0007724,0.0007724
33,326.337,0.60998,0.3433,1.06785,0.97837,1,0.99254,0.79974,0.77858,0.38624,1.13812,0.0007328,0.0007328,0.0007328
34,335.964,0.59059,0.34238,1.04837,0.99926,1,0.995,0.69905,1.06544,0.43046,1.26762,0.0006932,0.0006932,0.0006932
35,345.554,0.61149,0.34269,1.06418,0.99958,1,0.995,0.78174,0.86152,0.38378,1.13136,0.0006536,0.0006536,0.0006536
36,355.214,0.58662,0.33689,1.04743,0.99926,1,0.995,0.82019,0.75832,0.36104,1.09892,0.000614,0.000614,0.000614
37,364.901,0.5632,0.3226,1.0358,0.99935,1,0.995,0.81835,0.70996,0.3378,1.13445,0.0005744,0.0005744,0.0005744
38,374.432,0.54799,0.31722,1.03683,0.99929,1,0.995,0.81858,0.66526,0.34267,1.15094,0.0005348,0.0005348,0.0005348
39,383.996,0.54057,0.31788,1.02248,0.99884,1,0.995,0.82957,0.67172,0.36245,1.12783,0.0004952,0.0004952,0.0004952
40,393.552,0.54216,0.30954,1.0294,0.99514,1,0.995,0.85112,0.6272,0.33639,1.05944,0.0004556,0.0004556,0.0004556
41,408.289,0.52801,0.29969,1.01772,0.98884,1,0.9949,0.81736,0.72384,0.35549,1.09085,0.000416,0.000416,0.000416
42,417.901,0.51085,0.29574,1.01698,0.9994,1,0.995,0.7553,0.91607,0.38592,1.20049,0.0003764,0.0003764,0.0003764
43,427.78,0.4956,0.29355,1.00201,0.99928,1,0.995,0.82036,0.74693,0.35653,1.13519,0.0003368,0.0003368,0.0003368
44,437.571,0.48427,0.28757,0.97986,0.99914,1,0.995,0.82651,0.6802,0.34294,1.09232,0.0002972,0.0002972,0.0002972
45,447.251,0.48106,0.28666,0.99699,1,0.98909,0.9949,0.83863,0.63027,0.33136,1.10192,0.0002576,0.0002576,0.0002576
46,457.004,0.47582,0.28196,0.99082,0.98988,1,0.995,0.84424,0.60233,0.3115,1.07335,0.000218,0.000218,0.000218
47,466.617,0.4732,0.28035,0.97731,0.99938,1,0.995,0.83094,0.69658,0.31533,1.10733,0.0001784,0.0001784,0.0001784
48,476.179,0.46375,0.27312,0.99534,0.99936,1,0.995,0.84076,0.65174,0.31877,1.10817,0.0001388,0.0001388,0.0001388
49,485.728,0.44633,0.26939,0.97657,0.99935,1,0.995,0.8516,0.64914,0.31256,1.0919,9.92e-05,9.92e-05,9.92e-05
50,495.302,0.43353,0.2666,0.97419,0.99934,1,0.995,0.85668,0.62358,0.29956,1.08896,5.96e-05,5.96e-05,5.96e-05
