epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.4988,1.00877,0.9252,1.38201,0.54265,0.70992,0.56928,0.21846,2.01747,1.34184,1.75298,0.000663366,0.000663366,0.000663366
2,198.133,0.33695,0.25484,0.82525,0.51746,0.63805,0.53671,0.18136,2.26759,1.34703,1.93742,0.00128614,0.00128614,0.00128614
3,299.709,0.32037,0.24394,0.82283,0.60641,0.6214,0.56647,0.19599,2.24989,1.6322,2.0433,0.00186492,0.00186492,0.00186492
4,400.991,0.30045,0.22485,0.81769,0.55199,0.43754,0.4907,0.17641,2.11474,1.84729,1.86198,0.001802,0.001802,0.001802
5,500.72,0.28181,0.2086,0.81471,0.70076,0.70147,0.7455,0.31636,1.85353,1.22376,1.67661,0.001736,0.001736,0.001736
6,602.849,0.2635,0.19684,0.80929,0.59325,0.74952,0.64302,0.2691,1.8751,1.2428,1.67295,0.00167,0.00167,0.00167
7,706.261,0.25595,0.18983,0.80846,0.61888,0.71685,0.69002,0.31249,1.78429,1.08831,1.60418,0.001604,0.001604,0.001604
8,808.701,0.24714,0.18257,0.80752,0.62177,0.53497,0.58973,0.20326,2.22447,1.96451,1.89844,0.001538,0.001538,0.001538
9,911.9,0.23989,0.17626,0.8048,0.60789,0.60858,0.62074,0.25782,1.9867,1.40598,1.92503,0.001472,0.001472,0.001472
10,1017.73,0.23595,0.17144,0.80459,0.69259,0.79092,0.75621,0.32351,1.8462,1.08322,1.62409,0.001406,0.001406,0.001406
11,1124.45,0.23076,0.16628,0.80263,0.78925,0.80367,0.82474,0.41359,1.59061,0.87973,1.47226,0.00134,0.00134,0.00134
12,1236.8,0.2226,0.16044,0.80328,0.70003,0.76233,0.7505,0.3414,1.77532,1.07047,1.5587,0.001274,0.001274,0.001274
13,1345.26,0.21891,0.15711,0.79934,0.76611,0.83024,0.81597,0.38226,1.74944,0.90732,1.57041,0.001208,0.001208,0.001208
14,1451.63,0.21429,0.1559,0.80106,0.80018,0.80297,0.84172,0.41881,1.6614,1.08827,1.50134,0.001142,0.001142,0.001142
15,1556.74,0.20809,0.14952,0.80072,0.76339,0.81432,0.81528,0.40512,1.66924,0.91678,1.53732,0.001076,0.001076,0.001076
16,1658.23,0.20624,0.14825,0.80149,0.75778,0.82127,0.81463,0.38435,1.74114,0.96107,1.51762,0.00101,0.00101,0.00101
17,1759.3,0.20299,0.14672,0.7986,0.75083,0.84433,0.82524,0.39953,1.66249,0.91543,1.47834,0.000944,0.000944,0.000944
18,1860.27,0.1971,0.13923,0.79999,0.74942,0.78027,0.80076,0.39901,1.63613,0.94651,1.47787,0.000878,0.000878,0.000878
19,1960.39,0.19361,0.13489,0.79741,0.78193,0.86611,0.8556,0.40665,1.67803,0.85316,1.49309,0.000812,0.000812,0.000812
20,2060.28,0.19047,0.1332,0.79768,0.78527,0.83169,0.84514,0.41589,1.63265,0.90472,1.45201,0.000746,0.000746,0.000746
21,2163.94,0.18524,0.12967,0.79354,0.71704,0.76621,0.78155,0.36176,1.72272,1.0933,1.51465,0.00068,0.00068,0.00068
22,2263.02,0.1829,0.12806,0.79613,0.75322,0.83792,0.84377,0.41426,1.64028,0.8264,1.46164,0.000614,0.000614,0.000614
23,2361.59,0.17901,0.12483,0.79607,0.78269,0.84817,0.85862,0.44549,1.54434,0.83046,1.41532,0.000548,0.000548,0.000548
24,2462.15,0.17585,0.12192,0.79556,0.81732,0.85714,0.87452,0.45545,1.53357,0.79712,1.40646,0.000482,0.000482,0.000482
25,2562.36,0.17212,0.11791,0.79386,0.79651,0.84433,0.85896,0.43351,1.60803,0.83905,1.45316,0.000416,0.000416,0.000416
26,2662.18,0.16935,0.11466,0.79391,0.79707,0.82447,0.85686,0.42761,1.60495,0.89356,1.44035,0.00035,0.00035,0.00035
27,2763.37,0.16416,0.11005,0.79345,0.81161,0.86035,0.87923,0.46132,1.53006,0.79434,1.39535,0.000284,0.000284,0.000284
28,2864.04,0.16196,0.10746,0.79209,0.81214,0.84946,0.8668,0.44809,1.55911,0.8081,1.40464,0.000218,0.000218,0.000218
29,2965.66,0.15846,0.10458,0.79397,0.80836,0.84497,0.86884,0.45718,1.53783,0.84759,1.39583,0.000152,0.000152,0.000152
30,3067.45,0.15546,0.10083,0.79135,0.80767,0.83921,0.86862,0.44874,1.5682,0.80398,1.41347,8.6e-05,8.6e-05,8.6e-05
