epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,56.6382,1.45116,2.2432,3.07092,1.00255,0,0.00701,0.6675,0.00826,0.00314,0.00774,0.7375,0.01043,0.00443,1.51576,2.90771,3.67325,1.04038,0,0.000651163,0.000651163,0.000651163
2,87.5459,1.39999,2.00439,1.80865,0.99044,0,0.00388,0.37,0.06824,0.03909,0.00451,0.43,0.06125,0.02992,1.79987,5.59261,3.46795,1.24674,0,0.00127434,0.00127434,0.00127434
3,119.05,1.44153,2.04689,1.44442,1.02118,0,0.76839,0.2825,0.42565,0.20337,0.72079,0.265,0.39121,0.17184,1.71997,2.80929,2.23074,1.28936,0,0.00185352,0.00185352,0.00185352
4,151.298,1.42983,1.98897,1.2043,1.02913,0,0.65083,0.495,0.50007,0.26062,0.67241,0.44645,0.48008,0.23287,1.73137,2.87026,1.55989,1.32214,0,0.001802,0.001802,0.001802
5,182.682,1.36974,1.92471,1.04887,1.00833,0,0.64546,0.54,0.55124,0.30573,0.67692,0.47666,0.5154,0.23049,1.63864,2.59648,1.46523,1.22493,0,0.001736,0.001736,0.001736
6,214.652,1.34292,1.89024,0.99673,0.99864,0,0.77272,0.62897,0.6666,0.3996,0.73922,0.6,0.62417,0.26957,1.44784,2.27242,1.2019,1.09791,0,0.00167,0.00167,0.00167
7,245.865,1.32036,1.87281,0.93964,0.98284,0,0.82884,0.6275,0.70536,0.41104,0.80099,0.60372,0.67391,0.34541,1.49047,2.05341,1.13355,1.07941,0,0.001604,0.001604,0.001604
8,277.467,1.30591,1.79884,0.91411,0.97499,0,0.74399,0.64,0.6975,0.41439,0.7047,0.5975,0.63335,0.29189,1.4804,2.19913,1.26327,1.07759,0,0.001538,0.001538,0.001538
9,308.991,1.26814,1.696,0.87184,0.96201,0,0.79502,0.66905,0.76446,0.45633,0.76491,0.6525,0.71403,0.32343,1.39853,2.05745,0.99652,1.0368,0,0.001472,0.001472,0.001472
10,340.483,1.25849,1.73195,0.8471,0.95598,0,0.79942,0.64766,0.74028,0.48278,0.78669,0.63619,0.72024,0.36211,1.36389,1.95876,1.03079,1.04972,0,0.001406,0.001406,0.001406
11,371.934,1.21047,1.68604,0.82782,0.94628,0,0.86729,0.6675,0.7683,0.50125,0.83703,0.65,0.74792,0.37548,1.32398,1.8826,1.01212,1.02118,0,0.00134,0.00134,0.00134
